stationNumber,stationName,latitude,longitude,date,precip_in
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-20,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-21,0.03
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-22,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-23,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-25,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-27,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-28,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-07-30,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-01,0.26
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-02,0.13
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-03,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-04,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-05,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-06,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-08,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-09,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-10,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-11,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-12,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-13,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-14,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-15,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-16,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-18,0.04
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-19,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-20,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-21,1.08
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-22,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-23,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-24,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-25,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-26,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-27,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-28,0.01
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-29,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-08-31,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-01,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-02,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-03,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-04,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-05,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-06,0.02
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-07,0.01
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-08,0.7
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-09,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-10,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-11,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-12,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-13,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-14,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-16,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-17,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-18,0.79
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-20,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-21,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-22,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-23,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-24,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-25,1.17
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-26,1.28
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-27,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-28,0.06
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-29,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-09-30,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-01,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-02,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-03,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-04,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-05,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-06,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-07,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-09,0.69
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-10,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-11,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-12,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-13,1.99
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-14,2.56
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-15,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-16,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-17,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-18,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-19,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-20,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-21,0.86
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-22,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-23,0.03
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-24,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-25,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-26,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-27,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-28,0.02
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-30,0.07
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-10-31,1.69
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-01,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-02,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-03,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-04,0.24
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-06,0.04
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-07,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-08,0.02
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-09,0.01
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-10,1.54
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-11,0.4
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-12,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-13,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-14,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-15,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-16,0.78
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-17,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-18,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-20,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-21,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-22,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-23,0.33
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-24,0.02
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-25,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-27,0.03
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-28,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-29,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-11-30,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-01,0.45
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-02,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-04,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-05,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-06,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-07,0.01
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-08,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-09,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-10,0.04
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-12,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-13,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-14,0.03
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-15,0.32
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-16,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-17,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-18,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-19,0.05
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-20,0.41
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-22,0.0
MA-BA-115,Pocasset 1.0 NNW,41.6994,-70.6222,2025-12-23,0.0
